"id";"sritieskodas";"sritis";"forma";"vykdytojas";"projektas";"suma";"nefinansuojamadalis"
"1";"1.2";"tarpsritiniai projektai";"VšĮ";"""Ramybės"" kultūros centras";"Palanga - Vilniaus satelitas";"4700.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"2";"1.12";"literatūra";"UAB";"""Versus aureus"" leidykla";"Joachimo Lelewelio knygos ""Dvejetas bibliografinių knygų, II tomas"" leidyba";"4500.00";
"3";"1.12";"literatūra";"UAB";"""Versus aureus"" leidykla";"Mykolo Riomerio knygos ""Dienoraštis, kn. 7"" leidyba";"4500.00";
"4";"1.12";"literatūra";"UAB";"""Versus aureus"" leidykla";"A. ir J. Mekų knygos ""Knyga apie karalius ir žmones"" leidyba";"2000.00";
"5";"1.19";"kultūros paveldas";"UAB";"""Versus aureus"" leidykla";"Vlado Drėmos knygos ""Vilniaus amatininkai XVI-XIX a."" leidyba";"9000.00";
"6";"1.14";"etninė kultūra ir tautodailė";"BĮ";"A. Baranausko ir A.Vienuolio- Žukausko memorialinis muziejus";"Etninė kultūra respublikinėje šventėje ""Bėk, bėk, žirgeli""";"6000.00";"Svetainės atnaujinimo išlaidos"
"7";"1.18";"muziejus";"BĮ";"A. Baranausko ir A.Vienuolio- Žukausko memorialinis muziejus";"Siauruko muziejus - technikos atradimai kiekvienam";"16000.00";
"8";"1.18";"muziejus";"BĮ";"A. Baranausko ir A.Vienuolio- Žukausko memorialinis muziejus";"Antanui Baranauskui - 180: Tokie tai šiandien stebuklai pasdarė";"10000.00";
"9";"1.18";"muziejus";"BĮ";"A. Baranausko ir A.Vienuolio- Žukausko memorialinis muziejus";"""Edukacinis eksperimentas: tvirti kadaise buvo Vorutos pilėnai""";"9000.00";
"10";"1.12";"literatūra";"IĮ";"A. Žandario įmonė";"Knyga: Libertas Klimka ""Rimtos, juokingos ir graudžios senojo Vilniaus istorijos""";"4500.00";
"11";"1.12";"literatūra";"IĮ";"A. Žandario įmonė";"Knyga: Amin Maalouf ""Pasiklydę""";"4100.00";
"12";"1.12";"literatūra";"IĮ";"A. Žandario įmonė";"Knyga: Roland Barthes ""Meilės diskurso fragmentai""";"3600.00";
"13";"1.12";"literatūra";"IĮ";"A. Žandario įmonė";"Knyga: Salemonas Paltanavičius ""Dėdės Debesėlio atradimai + CD";"3500.00";
"14";"1.14";"etninė kultūra ir tautodailė";"IĮ";"A. Žandario įmonė";"Knygos sud. Dalia Vaicenavičienė, dailininkė Ingrida Umbrasaitė ""Gandrai, gandrai, pasuk ratą"" + CD leidyba";"4500.00";
"15";"1.11";"muzika";"Asociacija";"Academia Salensis";"Salų muzikos festivalis 2015";"3800.00";
"16";"1.3";"dailė";"VšĮ";"Actus Musicus";"Vilniaus gatvės meno festivalis 2015";"8000.00";
"17";"1.9";"muzikinis teatras";"Asociacija";"Agnus OK";"Modernus miuziklas vaikams, pagal Roko Radzevičiaus pasaką ""Karalaitė Gabrielė""";"8000.00";
"18";"1.2";"tarpsritiniai projektai";"Asociacija";"Aikas Žado";"Gyvas muziejus Aikas Žado: pažintinis stalas";"2000.00";
"19";"1.11";"muzika";"Tradicinė ";"Akmenės Šv. Onos parapija";"Vėl kviečia vargonai";"1750.00";
"20";"1.2";"tarpsritiniai projektai";"Asociacija";"Alt Events";"Muzikos festivalis ""Velnio akmuo"" 2015";"10000.00";
"21";"1.3";"dailė";"BĮ";"Alytaus dailės mokykla";"DAIlės paroDA";"2000.00";
"22";"1.12";"literatūra";"BĮ";"Alytaus Jurgio Kunčino viešoji biblioteka";"DĖMESIO! Dvi kartos traukinyje";"2400.00";
"23";"1.18";"muziejus";"BĮ";"Alytaus kraštotyros muziejus";"Interaktyvių programų įdiegimas ekspozicijos ""Kai sieloms neliko medžių"" terminaluose";"8000.00";
"24";"1.18";"muziejus";"BĮ";"Alytaus kraštotyros muziejus";"Alytaus kraštotyros muziejaus internetinės svetainės atnaujinimas";"3000.00";
"25";"1.11";"muzika";"VšĮ";"Alytaus kultūros ir komunikacijos centras";"Dainavos šalies muzikos festivalis";"3000.00";
"26";"1.2";"tarpsritiniai projektai";"Asociacija";"Alytaus miesto liaudies meno studija ""Dainava""";"Vaikų ir jaunimo liaudies meno festivalis ""Ateik, saulute, su pyragais""";"2000.00";
"27";"1.6";"teatras";"BĮ";"Alytaus miesto teatras";"Spektaklis pagal Upton Sinclair romaną „The Jungle“";"9000.00";
"28";"1.15";"mėgėjų menas";"Asociacija";"Ant rubežiaus";"XVIII-asis Lietuvos- Latvijos kaimo muzikantų ir kapelijų festivalis ""Ant rubežiaus""";"5000.00";
"29";"1.3";"dailė";"VšĮ";"Antano Mončio namai-muziejus";"Vasaros akademija pagal Mončį";"4000.00";
"30";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Anykščių kultūros centras";"Jaunimo etninės kultūros ir keistojo folkloro stovykla - festivalis ""Folk - virus""";"4000.00";
"31";"1.15";"mėgėjų menas";"BĮ";"Anykščių kultūros centras";"Teatralizuotų renginių ciklas ""Nuo Viešintų iki Japonijos"", režisierių Galinos ir Vytauto Germanavičių atminimui";"2500.00";
"32";"1.2";"tarpsritiniai projektai";"BĮ";"Anykščių kultūros centras";"Tarptautinis lietuviškų mėgėjų teatrų festivalis ""ARTimi"" - 2015";"2700.00";
"33";"1.11";"muzika";"BĮ";"Anykščių menų centras";"Festivalis ""12 klasikinės muzikos savaitgalių Anykščiuose""";"3000.00";
"34";"1.18";"muziejus";"BĮ";"Anykščių menų centras";"Anykščių menų centro audiogido sukūrimas ir pritaikymas lankytojų asmeniniams mobiliems elektroniniams įrenginiams";"6000.00";
"35";"1.3";"dailė";"BĮ";"Anykščių menų centras";"Meno taku";"3000.00";
